? checkElements(11, 28, 40)

N = 11

[a, b] = [2, 7]    -5.195719257570526744 E-44
[a, b] = [2, 8]    4.746391441425875143 E-44
[a, b] = [3, 3]    -1.4274724010240936212 E-58
[a, b] = [3, 4]    -4.941059457962045019 E-44
[a, b] = [3, 5]    1.8590243175252839927 E-44
[a, b] = [3, 6]    -1.0037912835324000026 E-44
[a, b] = [3, 7]    1.7163823970857635536 E-59
[a, b] = [3, 8]    1.6583430137743737965 E-44
[a, b] = [4, 4]    9.186528357862899114 E-59
[a, b] = [4, 5]    -8.027184498158893097 E-45
[a, b] = [4, 6]    -5.917389301135061878 E-44
[a, b] = [4, 7]    3.451945524095400705 E-44
[a, b] = [4, 8]    7.7460616296844447079454092769153239473 E-45
[a, b] = [5, 5]    6.259701287980752720 E-59
[a, b] = [5, 6]    1.1431005765228837226 E-58
[a, b] = [5, 7]    1.2404290784181562599 E-58
[a, b] = [5, 8]    2.8112286847172554142 E-46
[a, b] = [6, 6]    -2.752249521064024786 E-59
[a, b] = [6, 7]    2.465443777039501864 E-44
[a, b] = [6, 8]    -6.545517302416634222 E-45
[a, b] = [7, 7]    -6.799711399766725905 E-59
[a, b] = [7, 8]    4.493278161445809077 E-45
[a, b] = [8, 8]    1.8097219574437324378 E-57

Cycle #2
[a, b] = [1, 1]    -3.479087230731550894 E-58
[a, b] = [1, 2]    -1.8121020665620104075912381149035082900 E-44
[a, b] = [1, 3]    1.0476373421067637105 E-44
[a, b] = [1, 4]    -1.8142436701426851849 E-44
[a, b] = [1, 5]    1.8525387698914933857 E-45
[a, b] = [1, 6]    -6.173750594275294059 E-45
[a, b] = [1, 7]    5.957530055158662763 E-44
[a, b] = [1, 8]    2.6784600278255513698 E-58
[a, b] = [2, 2]    -6.865419282178628594 E-59
[a, b] = [2, 3]    -9.516366626836653315 E-45
[a, b] = [2, 4]    1.7591326104901042267361175049940911494 E-45
[a, b] = [2, 5]    -8.323899434597790250 E-45
[a, b] = [2, 6]    4.650242004789546536 E-44
[a, b] = [2, 7]    4.741447073526716327 E-44
[a, b] = [2, 8]    -2.599134828570310552 E-44
[a, b] = [3, 3]    -2.2734690392500016571 E-58
[a, b] = [3, 4]    -1.5993970483640877182 E-44
[a, b] = [3, 5]    3.390945434038239565 E-44
[a, b] = [3, 6]    4.7528284612856041465555828711429730205 E-44
[a, b] = [3, 7]    -1.2954226648158713682 E-59
[a, b] = [3, 8]    -1.8865613788130284310 E-44
[a, b] = [4, 4]    -1.2330397286312262093 E-58
[a, b] = [4, 5]    1.8123606684498530742 E-44
[a, b] = [4, 6]    -2.915772916461533453 E-44
[a, b] = [4, 7]    2.2889035369238642795 E-45
[a, b] = [4, 8]    -1.8928779603246979809810876856556519618 E-44
[a, b] = [5, 5]    7.558829936914960743 E-60
[a, b] = [5, 6]    -7.579603520278802289 E-59
[a, b] = [5, 7]    4.112330008106534941 E-59
[a, b] = [5, 8]    8.051729187490267944 E-46
[a, b] = [6, 6]    6.839790201912415362 E-59
[a, b] = [6, 7]    2.686882562768808493 E-44
[a, b] = [6, 8]    -2.866267082472412669 E-44
[a, b] = [7, 7]    -5.399426069964404582 E-59
[a, b] = [7, 8]    -2.1423122449561563566 E-44
[a, b] = [8, 8]    -1.7013687660474807709 E-57

Cycle #3
[a, b] = [1, 1]    -2.8255428226020832107 E-58
[a, b] = [1, 2]    -7.3107473888313711108722775320529062893 E-45
[a, b] = [1, 3]    2.542721941260089890 E-44
[a, b] = [1, 4]    3.214876101377520410 E-45
[a, b] = [1, 5]    1.3126002804881961533 E-44
[a, b] = [1, 6]    -2.645340288626132614 E-44
[a, b] = [1, 7]    9.470855289256961906 E-45
[a, b] = [1, 8]    1.5510650602573842101 E-58
[a, b] = [2, 2]    -1.3997894863146227892 E-58
[a, b] = [2, 3]    3.909114385653161740 E-45
[a, b] = [2, 4]    3.4626848650218210220276689341002193624 E-44
[a, b] = [2, 5]    -1.7184759516753074270 E-44
[a, b] = [2, 6]    -5.493103587039787321 E-45
[a, b] = [2, 7]    -2.3143932779660761129 E-45
[a, b] = [2, 8]    1.1798734087410191782 E-44
[a, b] = [3, 3]    1.0379024806826490874 E-58
[a, b] = [3, 4]    -6.174182181054974174 E-44
[a, b] = [3, 5]    2.345769756720724227 E-44
[a, b] = [3, 6]    -4.6061999321476715844318933219292748326 E-45
[a, b] = [3, 7]    5.576078376637122790 E-59
[a, b] = [3, 8]    6.164565041923289982 E-45
[a, b] = [4, 4]    8.735912789220298589 E-58
[a, b] = [4, 5]    3.090362597928192768 E-44
[a, b] = [4, 6]    -6.610408963317408621 E-44
[a, b] = [4, 7]    5.285362554304941016 E-44
[a, b] = [4, 8]    1.9400798833398606587815687385627752804 E-44
[a, b] = [5, 5]    -8.012221274822919356 E-59
[a, b] = [5, 6]    -9.250065244601477312 E-60
[a, b] = [5, 7]    7.380254427367390009 E-59
[a, b] = [5, 8]    -5.030442481267674509 E-44
[a, b] = [6, 6]    -2.564872123870456142 E-59
[a, b] = [6, 7]    1.3250464090126846642 E-44
[a, b] = [6, 8]    -1.5583651097740010883 E-45
[a, b] = [7, 7]    3.890386829499933101 E-59
[a, b] = [7, 8]    -9.484340809443976273 E-45
[a, b] = [8, 8]    7.493613384593349927 E-58

Cycle #4
[a, b] = [1, 1]    2.3630425130980837002 E-58
[a, b] = [1, 2]    1.9839968123579104403257412741907748018 E-44
[a, b] = [1, 3]    -2.877340901301313324 E-44
[a, b] = [1, 4]    -6.732705459416150806 E-45
[a, b] = [1, 5]    1.9587869008404361611 E-44
[a, b] = [1, 6]    3.433631700662727218 E-44
[a, b] = [1, 7]    -6.608919996910151683 E-44
[a, b] = [1, 8]    -1.1350011916964576327 E-57
[a, b] = [2, 2]    1.0576927976093151362 E-58
[a, b] = [2, 3]    -1.8221723212630750862 E-44
[a, b] = [2, 4]    -1.9954138335551845999329932721992264435 E-44
[a, b] = [2, 5]    1.5114498186816947343 E-45
[a, b] = [2, 6]    5.937557173418276748 E-45
[a, b] = [2, 7]    -3.504616345022617715 E-44
[a, b] = [2, 8]    1.4292839657510064849 E-45
[a, b] = [3, 3]    -8.205435305613547615 E-59
[a, b] = [3, 4]    2.1119076148742578808 E-44
[a, b] = [3, 5]    3.337954339066776296 E-45
[a, b] = [3, 6]    -1.5137338274887706123770122070798221511 E-44
[a, b] = [3, 7]    0.E-58
[a, b] = [3, 8]    -1.1946282085612254701 E-44
[a, b] = [4, 4]    -9.651020671227680999 E-59
[a, b] = [4, 5]    -2.2388179280866063856 E-45
[a, b] = [4, 6]    3.493234778884419866 E-44
[a, b] = [4, 7]    -2.429058771446231937 E-44
[a, b] = [4, 8]    -1.7264724347458108466952025094638697554 E-44
[a, b] = [5, 5]    1.4242440601718173202 E-58
[a, b] = [5, 6]    1.2339707449937749518 E-58
[a, b] = [5, 7]    -7.195925707028122366 E-59
[a, b] = [5, 8]    1.9503542275542528765 E-44
[a, b] = [6, 6]    -9.343802247756223197 E-58
[a, b] = [6, 7]    -1.0641760074373246730 E-44
[a, b] = [6, 8]    2.708362036050046351 E-44
[a, b] = [7, 7]    1.1601532856625961615 E-58
[a, b] = [7, 8]    3.361687948446043457 E-44
[a, b] = [8, 8]    2.6774178219279876013 E-58

Cycle #5
[a, b] = [1, 1]    -5.249610016976683502 E-58
[a, b] = [1, 2]    3.2938763449392954053948818460508386263 E-44
[a, b] = [1, 3]    -5.520247345560534641 E-44
[a, b] = [1, 4]    3.478743496306984231 E-44
[a, b] = [1, 5]    -1.9856644087673599366 E-44
[a, b] = [1, 6]    4.417191779988923010 E-45
[a, b] = [1, 7]    -2.1607622123912374056 E-45
[a, b] = [1, 8]    -8.089462129969999709 E-59
[a, b] = [2, 2]    2.8074060099761308362 E-58
[a, b] = [2, 3]    1.2413805323358889335 E-44
[a, b] = [2, 4]    -3.7782670339604025731223367391987495934 E-44
[a, b] = [2, 5]    1.0051101030925768893 E-44
[a, b] = [2, 6]    -2.974001207136351430 E-44
[a, b] = [2, 7]    -9.207665405521035881 E-45
[a, b] = [2, 8]    1.3734934792432399126 E-45
[a, b] = [3, 3]    3.448538609871628625 E-58
[a, b] = [3, 4]    8.398738408246663445 E-44
[a, b] = [3, 5]    -5.270644576617132545 E-44
[a, b] = [3, 6]    -2.2551453896435197760197689538733735248 E-44
[a, b] = [3, 7]    2.893877011238107180 E-59
[a, b] = [3, 8]    -9.296575459506801844 E-45
[a, b] = [4, 4]    -7.614776373829122942 E-58
[a, b] = [4, 5]    -3.905807223784194328 E-44
[a, b] = [4, 6]    1.0534284515580429404 E-43
[a, b] = [4, 7]    -7.468808697679416430 E-44
[a, b] = [4, 8]    1.1645101915121299932824730084735390690 E-44
[a, b] = [5, 5]    0.E-58
[a, b] = [5, 6]    -1.1458271623155868601 E-58
[a, b] = [5, 7]    -1.9290687731027198979 E-58
[a, b] = [5, 8]    2.741297032272154686 E-44
[a, b] = [6, 6]    -9.584568660613302076 E-59
[a, b] = [6, 7]    -3.065475817901793091 E-44
[a, b] = [6, 8]    3.184802935593940428 E-44
[a, b] = [7, 7]    7.987007169262707306 E-59
[a, b] = [7, 8]    7.834171926277960256 E-45
[a, b] = [8, 8]    -1.0190503033713729724 E-57

N = 18

Cycle #1
[a, b] = [1, 1]    1.9629002797274129226 E-58
[a, b] = [1, 2]    -1.0113731373548881773359173184342968448 E-44
[a, b] = [1, 3]    3.676144447149940235 E-45
[a, b] = [1, 4]    1.2694767377622035252 E-44
[a, b] = [1, 5]    -6.022913961860147393 E-45
[a, b] = [1, 6]    -8.113441192418468643 E-44
[a, b] = [1, 7]    1.0866879049246170440 E-43
[a, b] = [1, 8]    -5.4285243590250763633451165842505789756 E-44
[a, b] = [1, 9]    2.2409330982962381483845296532486438105 E-44
[a, b] = [2, 2]    -4.433427046386759010 E-58
[a, b] = [2, 3]    7.412341395321321834 E-46
[a, b] = [2, 4]    -1.1241114694631265474049594583792968794 E-44
[a, b] = [2, 5]    -1.3072212235874049760 E-44
[a, b] = [2, 6]    1.2988623420548169461 E-44
[a, b] = [2, 7]    8.6999140533358525034198354783711765247 E-45
[a, b] = [2, 8]    1.2247833192512399783 E-58
[a, b] = [2, 9]    2.1289027923435229558073896806946744638 E-45
[a, b] = [3, 3]    3.720766472086764397 E-58
[a, b] = [3, 4]    -2.0488039487686934748 E-44
[a, b] = [3, 5]    2.1236644316684983305 E-44
[a, b] = [3, 6]    7.4755001522815162813157359515075910945 E-45
[a, b] = [3, 7]    3.866528527970199896 E-44
[a, b] = [3, 8]    -4.213642120791442079 E-44
[a, b] = [3, 9]    -4.9836667681878416208961033719719303197 E-45
[a, b] = [4, 4]    -9.551307090675202628 E-59
[a, b] = [4, 5]    -7.5865668085519510034834949067417926991 E-44
[a, b] = [4, 6]    4.215015471596085992 E-44
[a, b] = [4, 7]    -2.6024491725066516568 E-58
[a, b] = [4, 8]    -4.9137970757035876656511620605395244172 E-44
[a, b] = [4, 9]    3.3354870537638902503900902161541453364 E-44
[a, b] = [5, 5]    -2.9430587792462433464 E-58
[a, b] = [5, 6]    -2.2117753412810902963 E-45
[a, b] = [5, 7]    -3.334068233931145605 E-44
[a, b] = [5, 8]    1.7423916629367490423 E-58
[a, b] = [5, 9]    4.2510797547880696455414789260563523501 E-44
[a, b] = [6, 6]    0.E-59
[a, b] = [6, 7]    3.555245768059206842 E-44
[a, b] = [6, 8]    6.987816041074798026 E-45
